Safety Property Mostyn V11,"Old Verifier (tptp)
IV Base","Old Verifier (tptp)
IV Step","Old Verifier
(tptp)
Final IV 
Result","Old Verifier
(tptp)
run time in
seconds","Old Verifier
(tptp)
BMC 100
steps","New Verifier
IV Base","New Verifier
IV Step","New Verifier
IV","New Verifier
BMC 100
Steps","IC3 Result with 
SMTLib
(Does prop hold?)","Consistency
New Verifier IV
and IC3","Consistency
New Verifier BMC
and IC3","Consistency
New Verifier BMC
and New Verifier IV","IC3 Result
(safety & ladder 
tptp)
Does prop hold?","IC3 run time
(seconds)","Consistency
New Verifier IV
and tptp IC3","Consistency
Old Verifier IV
and tptp IC3","Consistency
Old Verifier BMC
and tptp IC3"
2_1_1_RoutesFromEntranceSignal_group0,Theorem,CounterSatisfiable,no,18.9024512,Theorem,unsat,sat,no,unsat,yes,yes,yes,yes,yes,0.0682643,yes,yes,yes
2_1_1_RoutesFromEntranceSignal_group1,Theorem,CounterSatisfiable,no,18.7544524,Theorem,unsat,sat,no,unsat,yes,yes,yes,yes,yes,0.0629449,yes,yes,yes
2_1_1_RoutesFromEntranceSignal_group10,Theorem,CounterSatisfiable,no,18.8925738,Theorem,unsat,sat,no,unsat,yes,yes,yes,yes,yes,0.06547,yes,yes,yes
2_1_1_RoutesFromEntranceSignal_group11,Theorem,CounterSatisfiable,no,18.9006355,Theorem,unsat,sat,no,unsat,yes,yes,yes,yes,yes,0.0642077,yes,yes,yes
2_1_1_RoutesFromEntranceSignal_group12,Theorem,CounterSatisfiable,no,18.9173695,Theorem,unsat,sat,no,unsat,yes,yes,yes,yes,yes,0.0656807,yes,yes,yes
2_1_1_RoutesFromEntranceSignal_group13,Theorem,CounterSatisfiable,no,18.8220621,Theorem,unsat,sat,no,unsat,yes,yes,yes,yes,yes,0.0631806,yes,yes,yes
2_1_1_RoutesFromEntranceSignal_group14,Theorem,CounterSatisfiable,no,18.8306716,Theorem,unsat,sat,no,unsat,yes,yes,yes,yes,yes,0.0652785,yes,yes,yes
2_1_1_RoutesFromEntranceSignal_group15,Theorem,CounterSatisfiable,no,18.9841168,Theorem,unsat,sat,no,unsat,yes,yes,yes,yes,yes,0.0672065,yes,yes,yes
2_1_1_RoutesFromEntranceSignal_group16,Theorem,CounterSatisfiable,no,18.8165797,Theorem,unsat,sat,no,unsat,yes,yes,yes,yes,yes,0.0591978,yes,yes,yes
2_1_1_RoutesFromEntranceSignal_group17,Theorem,CounterSatisfiable,no,19.1581867,Theorem,unsat,sat,no,unsat,yes,yes,yes,yes,yes,0.0672475,yes,yes,yes
2_1_1_RoutesFromEntranceSignal_group18,Theorem,CounterSatisfiable,no,18.8814606,Theorem,unsat,sat,no,unsat,yes,yes,yes,yes,yes,0.0675089,yes,yes,yes
2_1_1_RoutesFromEntranceSignal_group19,Theorem,CounterSatisfiable,no,18.801425,Theorem,unsat,sat,no,unsat,yes,yes,yes,yes,yes,0.0666442,yes,yes,yes
2_1_1_RoutesFromEntranceSignal_group2,Theorem,CounterSatisfiable,no,18.7854239,Theorem,unsat,sat,no,unsat,yes,yes,yes,yes,yes,0.0665665,yes,yes,yes
